Ia,Ib,Ic,Va,Vb,Vc,G,C,B,A,Fault_Code,Fault_Type
-0.0639587740865073,0.11150439509370373,-0.0573843856337687,-0.8146320486070608,-0.07452072145479968,0.9076202182822012,0,0,0,0,0000,No Fault
0.049849403301687356,-0.022628359457570354,-0.030099412962149564,0.8203429952784809,0.09541580122778473,-0.9048507514601595,0,0,0,0,0000,No Fault
-0.04410484506137042,0.0045368465541063534,0.030412141325820145,0.7597672674515396,-0.9080626494109095,0.17840655800749303,0,0,0,0,0000,No Fault
-0.008337082630979993,0.10293116992429434,-0.10380934920427265,-0.967048921523582,0.6987107984355436,0.27253640686104474,0,0,0,0,0000,No Fault
-0.046353506723169215,0.8828054797825359,-0.8420104310773631,0.2580136602060188,-0.022932783333482292,-0.22043615567044597,0,1,1,0,0110,LL Fault
-0.07716863448181603,0.053027285318842036,0.014398062409770242,0.17374397845937337,-0.9058600502085312,0.7637390980661908,0,0,0,0,0000,No Fault
-0.8391978921728783,-0.011768751868396238,-0.05593082103900022,-0.03904022161593834,0.5888363576638733,-0.5459731269022777,1,0,1,1,1011,LLG Fault
0.05379354916935883,-0.019023204609396563,-0.04284815894598556,0.6326293378557263,0.35888952301811006,-0.9851129722673154,0,0,0,0,0000,No Fault
-0.006027993032173863,-0.021425275207826732,0.018717956983203467,0.9843819851806366,-0.5992284994502495,-0.36149840082438917,0,0,0,0,0000,No Fault
-0.9799200603719719,-0.06056124220446377,-0.0027593547331520507,0.2192622962867825,0.1664298608126416,-0.37453814444708794,1,0,0,1,1001,LG Fault
-0.029494129031475354,0.11119838703303091,-0.09112095696576407,-0.9960443491824644,0.46165788589734086,0.5431600578814326,0,0,0,0,0000,No Fault
0.90674729083797,0.03805877190737648,0.014321775126311186,0.18308659503320004,-0.6975308430152279,0.5420891409160036,1,0,0,1,1001,LG Fault
-0.9056192299322997,0.8150842558735508,0.07724278015239769,0.01764506273022195,0.04485404765454679,-0.04850348945344762,0,1,1,1,0111,LLL Fault
-0.9839329370448421,0.45542581777557956,-0.029215335914723937,-0.015458221567325174,0.4841572984040736,-0.46295214277026003,1,0,1,1,1011,LLG Fault
0.9346519663234624,0.0788319035872526,-0.026764013154308115,-0.27722819292860135,-0.03021224062732876,0.3236423112435945,1,0,0,1,1001,LG Fault
0.25542380560906114,0.6992579115489104,0.05468191742471232,0.08887695941877592,-0.507291080893987,0.44269869056942673,1,0,1,1,1011,LLG Fault
-0.5139765679824498,0.02124343162764654,-0.05894722583578637,-0.4615312693211672,0.9468615283982392,-0.48718122769381433,1,0,0,1,1001,LG Fault
0.6442146492656692,-0.9757954473896144,0.3349022031200402,-0.0048268156724837405,-0.058389868582227965,0.07923109278568118,1,1,1,1,1111,LLLG Fault
-0.0150407014468539,-0.01314553232564094,0.018924991254139004,0.959131237138027,-0.6756094443780851,-0.25835031885525983,0,0,0,0,0000,No Fault
-0.06356859530540232,0.028988138992046324,0.024896572798277825,0.5083593814912823,-0.9629604901026692,0.4864205802286013,0,0,0,0,0000,No Fault
0.007773889919631077,-0.04670360348771935,0.04589134674317981,0.6419850768119576,-0.9390593841312149,0.32808595442173727,1,0,0,1,1001,LG Fault
